,abbreviation,state,poverty_percent_15,median_household_income_15
3,US,United States,14.7,"55,775"
4,AL,Alabama,18.5,"44,833"
5,AK,Alaska,10.4,"73,391"
6,AZ,Arizona,17.4,"51,473"
7,AR,Arkansas,18.7,"42,046"
8,CA,California,15.4,"64,483"
9,CO,Colorado,11.5,"63,945"
10,CT,Connecticut,10.6,"71,333"
11,DE,Delaware,12.6,"61,327"
12,DC,District of Columbia,17.7,"73,115"
13,FL,Florida,15.8,"49,416"
14,GA,Georgia,17.2,"51,225"
15,HI,Hawaii,10.7,"73,097"
16,ID,Idaho,14.7,"48,311"
17,IL,Illinois,13.6,"59,590"
18,IN,Indiana,14.4,"50,510"
19,IA,Iowa,12.1,"54,843"
20,KS,Kansas,12.9,"53,802"
21,KY,Kentucky,18.3,"45,178"
22,LA,Louisiana,19.5,"45,829"
23,ME,Maine,13.2,"51,419"
24,MD,Maryland,9.9,"75,784"
25,MA,Massachusetts,11.5,"70,659"
26,MI,Michigan,15.7,"51,063"
27,MN,Minnesota,10.2,"63,459"
28,MS,Mississippi,22.1,"40,630"
29,MO,Missouri,14.8,"50,200"
30,MT,Montana,14.4,"49,650"
31,NE,Nebraska,12.2,"55,073"
32,NV,Nevada,14.9,"52,544"
33,NH,New Hampshire,8.4,"70,003"
34,NJ,New Jersey,10.8,"72,337"
35,NM,New Mexico,19.8,"45,524"
36,NY,New York,15.5,"60,805"
37,NC,North Carolina,16.4,"47,884"
38,ND,North Dakota,10.7,"61,674"
39,OH,Ohio,14.8,"51,086"
40,OK,Oklahoma,16.0,"48,595"
41,OR,Oregon,15.2,"54,074"
42,PA,Pennsylvania,13.1,"55,683"
43,RI,Rhode Island,14.1,"57,265"
44,SC,South Carolina,16.8,"47,308"
45,SD,South Dakota,13.5,"53,263"
46,TN,Tennessee,16.7,"47,243"
47,TX,Texas,15.9,"55,668"
48,UT,Utah,11.2,"62,961"
49,VT,Vermont,10.4,"56,883"
50,VA,Virginia,11.2,"66,263"
51,WA,Washington,12.2,"64,080"
52,WV,West Virginia,18.0,"41,969"
53,WI,Wisconsin,12.1,"55,623"
54,WY,Wyoming,10.6,"61,213"
